kod,komunikat,bon,płeć,wiek,tryb,rok,waznosc,Nastroj1,Nastroj2,indeks_przychylności,wynik_ogólny,nastroj_diff,Nastroj1_mapped,komunikat_mapped,Nastroj1_komunikat_congruence,Nastroj1_komunikat_congruence_abs,plec_komunikat_bon,komunikat_bon,Nastroj1_komunikat_congruence_komunikat
OIM04,2,1,1,20,1,1,4,4,3,4.0,3.5,-1,5,1,4,4,k_2_1,2_1,4_2
JAF05,2,1,1,20,1,1,2,4,4,4.0,3.75,0,5,1,4,4,k_2_1,2_1,4_2
XX23,2,1,1,20,1,1,2,4,4,2.0,2.0,0,5,1,4,4,k_2_1,2_1,4_2
XX24,2,1,1,20,1,1,1,4,2,1.0,1.375,-2,5,1,4,4,k_2_1,2_1,4_2
XX25,2,1,1,20,1,1,4,1,1,5.0,4.75,0,1,1,0,0,k_2_1,2_1,0_2
XX26,2,1,1,20,1,1,3,5,5,3.0,2.625,0,5,1,4,4,k_2_1,2_1,4_2
OII07,2,1,1,21,1,1,5,3,3,5.0,3.75,0,3,1,2,2,k_2_1,2_1,2_2
JAK05,2,1,1,22,1,1,5,3,3,4.0,4.125,0,3,1,2,2,k_2_1,2_1,2_2
OMD11,2,1,2,18,1,1,4,2,2,2.5,2.6875,0,1,1,0,0,m_2_1,2_1,0_2
XX27,2,1,2,18,1,1,4,3,3,4.0,3.625,0,3,1,2,2,m_2_1,2_1,2_2
XX28,2,1,2,19,1,1,4,3,3,4.0,3.0,0,3,1,2,2,m_2_1,2_1,2_2
XX29,2,1,2,21,1,1,3,4,4,3.0,3.125,0,5,1,4,4,m_2_1,2_1,4_2
XX30,2,1,3,20,1,1,4,4,4,5.0,4.375,0,5,1,4,4,inna_2_1,2_1,4_2
ZER10,2,1,3,20,1,1,2,4,4,4.5,4.0625,0,5,1,4,4,inna_2_1,2_1,4_2
IIP10,2,1,0,19,1,1,2,4,3,4.0,3.125,-1,5,1,4,4,inna_2_1,2_1,4_2
OMM08,1,1,1,19,2,1,3,2,2,2.5,2.8125,0,1,5,-4,4,k_1_1,1_1,-4_1
SAK05,1,1,1,20,2,1,2,4,4,2.0,3.0,0,5,5,0,0,k_1_1,1_1,0_1
MAK11,1,1,1,20,2,1,4,3,3,4.0,3.875,0,3,5,-2,2,k_1_1,1_1,-2_1
